Time,Marker,Group,lumbar_flexion_fwd_deg,lt_lumbar_flexion_lat_deg,lt_lumbar_axial_deg,rt_lumbar_flexion_lat_deg,rt_lumbar_axial_deg,thoracic_flexion_fwd_deg,lt_thoracic_flexion_lat_deg,lt_thoracic_axial_deg,rt_thoracic_flexion_lat_deg,rt_thoracic_axial_deg,lt_hip_flexion_deg,lt_hip_abduction_deg,lt_hip_rotation_ext_deg,lt_knee_abduction_deg,lt_knee_rotation_ext_deg,lt_knee_flexion_deg,lt_ankle_dorsiflexion_deg,lt_ankle_abduction_deg,lt_ankle_inversion_deg,rt_hip_flexion_deg,rt_hip_abduction_deg,rt_hip_rotation_ext_deg,rt_knee_abduction_deg,rt_knee_rotation_ext_deg,rt_knee_flexion_deg,rt_ankle_dorsiflexion_deg,rt_ankle_abduction_deg,rt_ankle_inversion_deg
0.0,Stand,Control,0.01502601141,0.6665395668,-0.2302220945,-0.6665395668,0.2302220945,4.820946638,-0.5754764285,0.8846426302,0.5754764285,-0.8846426302,-8.516482794,1.150095207,-2.449077728,-0.9303071929,2.135152829,-4.151325113,4.635407742,0.5716767858,-0.2652349794,-4.936542875,0.2794298448,-2.186374361,0.9388436727,1.491990616,-0.2258230859,5.428221774,0.9405081764,2.539627498
0.005,,Control,0.0083423009,0.6660936531,-0.2272868255,-0.6660936531,0.2272868255,4.821492267,-0.5781212665,0.8801979836,0.5781212665,-0.8801979836,-8.513178718,1.155361183,-2.447071263,-0.9296936855,2.128151376,-4.159636692,4.631099186,0.5789558792,-0.2666008441,-4.941330305,0.2780158288,-2.191416055,0.9359198793,1.497464593,-0.2409921488,5.415778088,0.9383438823,2.532522261
0.01,,Control,0.001732022741,0.6656509463,-0.2243413902,-0.6656509463,0.2243413902,4.82206342,-0.5808011586,0.8757152713,0.5808011586,-0.8757152713,-8.510006228,1.160707065,-2.445038019,-0.9291055695,2.121125616,-4.167913554,4.626814747,0.5862772302,-0.2679004727,-4.946290517,0.2765653165,-2.19643941,0.9329817305,1.502909371,-0.2561963259,5.40331606,0.9361480592,2.525361332
0.015,,Control,-0.00480057864,0.6652107259,-0.221386483,-0.6652107259,0.221386483,4.822669413,-0.5835126853,0.8711943778,0.5835126853,-0.8711943778,-8.506973259,1.166132249,-2.44298164,-0.9285470548,2.114082425,-4.17613122,4.622570953,0.5936363459,-0.2691294888,-4.951427922,0.2750772826,-2.201437245,0.9300338982,1.508318571,-0.2714195523,5.390850968,0.9339204005,2.51815308
0.02,,Control,-0.01280524863,0.6646909386,-0.2181485922,-0.6646909386,0.2181485922,4.824579806,-0.5864651291,0.8663853966,0.5864651291,-0.8663853966,-8.503366166,1.171960164,-2.441177434,-0.9284415389,2.106738933,-4.183149712,4.619398246,0.6015865416,-0.2701099953,-4.957116237,0.2734443636,-2.206325129,0.9272291264,1.513847529,-0.2875409236,5.378280036,0.9314290248,2.511066424
0.025,,Control,-0.02212983037,0.6640930956,-0.2146717683,-0.6640930956,0.2146717683,4.827896259,-0.5897265158,0.8613822831,0.5897265158,-0.8613822831,-8.499367858,1.178179796,-2.439695918,-0.9288254621,2.099260674,-4.188581751,4.617479301,0.6100436966,-0.2707677366,-4.96353763,0.2716435367,-2.210846259,0.9246184897,1.519236744,-0.3043537321,5.36583333,0.9286473949,2.504212505
0.03,,Control,-0.0325737322,0.6634214383,-0.2110013144,-0.6634214383,0.2110013144,4.832644264,-0.593374598,0.8563008619,0.593374598,-0.8563008619,-8.495170233,1.184767477,-2.438574664,-0.9296998386,2.091818572,-4.192151814,4.616890931,0.6189096978,-0.2710526209,-4.970847277,0.2696586479,-2.214750874,0.9222325958,1.524205509,-0.3216600229,5.353693285,0.9255550082,2.497668181
0.035,,Control,-0.04392974852,0.6626808325,-0.2071764302,-0.6626808325,0.2071764302,4.838791638,-0.5974825049,0.8512677759,0.5974825049,-0.8512677759,-8.490953777,1.191687627,-2.437811433,-0.931038758,2.08458167,-4.193702197,4.617610685,0.6280730446,-0.2709319936,-4.979146646,0.2674840872,-2.217820025,0.9200845747,1.528474357,-0.3392675871,5.341998068,0.9221368392,2.491480386
0.04,,Control,-0.05601130096,0.6618742809,-0.2032266445,-0.6618742809,0.2032266445,4.846262647,-0.6021045326,0.8464083429,0.6021045326,-0.8464083429,-8.486878698,1.198892895,-2.437363934,-0.9327956452,2.077713623,-4.193188638,4.619531816,0.6374113413,-0.2703846172,-4.988467206,0.2651246681,-2.21989153,0.918175459,1.531793267,-0.356984177,5.330848299,0.9183841136,2.485668773
0.045,,Control,-0.06865858212,0.6610020732,-0.1991710497,-0.6610020732,0.1991710497,4.854947094,-0.6072649048,0.8418331502,0.6072649048,-0.8418331502,-8.483085487,1.206324292,-2.437155701,-0.9349098005,2.071370432,-4.190670916,4.622479425,0.6467941945,-0.2693982142,-4.998768293,0.2625952368,-2.220880628,0.9164988036,1.533969422,-0.3746114499,5.320314842,0.9142930594,2.480230091
0.05,,Control,-0.08172326102,0.6600621975,-0.1950192253,-0.6600621975,0.1950192253,4.864704575,-0.6129542367,0.8376279054,0.6129542367,-0.8376279054,-8.479711201,1.213914438,-2.437086283,-0.9373129201,2.065698692,-4.186302601,4.626230397,0.6560868232,-0.2679694355,-5.00995313,0.2599191562,-2.220793944,0.915045596,1.534891101,-0.3919425158,5.310446964,0.9098621836,2.475143816
0.055,,Control,-0.09503662043,0.6590497365,-0.1907719604,-0.6590497365,0.1907719604,4.875366297,-0.6191275513,0.8338476874,0.6191275513,-0.8338476874,-8.476912526,1.221590549,-2.43704176,-0.939934372,2.060832069,-4.18031714,4.630529562,0.6651568699,-0.2661058893,-5.021898168,0.2571249547,-2.21973452,0.9138074818,1.534540634,-0.4087636086,5.301278435,0.9050921078,2.470378072
0.06,,Control,-0.1083809426,0.6579604248,-0.1864182989,-0.6579604248,0.1864182989,4.886738072,-0.6257095668,0.8305106819,0.6257095668,-0.8305106819,-8.47488913,1.229277548,-2.436907673,-0.9427070409,2.056891605,-4.173012324,4.635109887,0.6738800953,-0.263827392,-5.034485787,0.2542435821,-2.2178966,0.9127789709,1.532994413,-0.4248579688,5.292831939,0.8999879563,2.465891377
0.065,,Control,-0.1214721073,0.6567937993,-0.1819313963,-0.6567937993,0.1819313963,4.898601285,-0.6326060768,0.8275947915,0.6326060768,-0.8275947915,-8.473899753,1.236903636,-2.436576964,-0.9455737889,2.05398329,-4.164733538,4.639710881,0.6821464604,-0.2611676132,-5.047629648,0.2513036093,-2.215553544,0.911957494,1.530412403,-0.4400072954,5.285121154,0.8945627213,2.461633005
0.07,,Control,-0.1339656387,0.6555555536,-0.1772718232,-0.6555555536,0.1772718232,4.910720709,-0.63971709,0.825042307,0.63971709,-0.825042307,-8.474259598,1.244403723,-2.435959931,-0.9484883128,2.052198245,-4.1558521,4.644098372,0.6898653546,-0.2581708528,-5.061291535,0.2483253243,-2.213035712,0.9113439163,1.527020403,-0.4540012841,5.278151227,0.8888376788,2.457542753
0.075,,Control,-0.1454859036,0.6542579393,-0.172399358,-0.6542579393,0.172399358,4.922860441,-0.646950812,0.8227718819,0.646950812,-0.8227718819,-8.476323524,1.25172538,-2.434993855,-0.9514165531,2.051614016,-4.146749921,4.648079209,0.6969679489,-0.2548877829,-5.075479847,0.2453168652,-2.210699087,0.9109418194,1.523086073,-0.4666445392,5.271919357,0.8828416775,2.453553049
0.08,,Control,-0.1556621393,0.6529203419,-0.1672832417,-0.6529203419,0.1672832417,4.934796612,-0.6542376547,0.8206912009,0.6542376547,-0.8206912009,-8.480454278,1.258833441,-2.433648247,-0.9543347282,2.052297007,-4.137804256,4.651507823,0.7034048943,-0.2513694346,-5.090236087,0.2422710645,-2.20889369,0.9107563158,1.518893716,-0.4777660666,5.266414484,0.8766088738,2.449591012
0.085,,Control,-0.1641602879,0.6515681295,-0.1619079751,-0.6515681295,0.1619079751,4.946327263,-0.6615366978,0.8187062159,0.6615366978,-0.8187062159,-8.48698787,1.265711585,-2.431923726,-0.9572269561,2.054297094,-4.129372186,4.654283064,0.7091470309,-0.2476605944,-5.1056183,0.2391672013,-2.207929888,0.9107917622,1.514717193,-0.4872260626,5.261616173,0.8701750872,2.445585036
0.09,,Control,-0.170698859,0.6502307372,-0.1562804527,-0.6502307372,0.1562804527,4.957273597,-0.6688383005,0.8167320233,0.6688383005,-0.8167320233,-8.496205864,1.272364595,-2.429848648,-0.9600806568,2.057636991,-4.121781682,4.656336997,0.7141925266,-0.2437966174,-5.121687968,0.2359721094,-2.208048138,0.9110494033,1.510791736,-0.4949215342,5.257498793,0.8635772962,2.441469766
0.095,,Control,-0.1750440608,0.6489341407,-0.1504331495,-0.6489341407,0.1504331495,4.967474215,-0.6761593415,0.8147015086,0.6761593415,-0.8147015086,-8.508322903,1.278822474,-2.427470188,-0.9628856313,2.062301314,-4.115320997,4.657628018,0.7185728763,-0.239802287,-5.138505436,0.2326417294,-2.209398497,0.9115228703,1.507289312,-0.5007866648,5.254034646,0.8568529632,2.437189385
0.1,,Control,-0.176987771,0.6476968741,-0.14442399,-0.6476968741,0.14442399,4.976777306,-0.6835338739,0.8125721767,0.6835338739,-0.8125721767,-8.523491481,1.285139108,-2.424847327,-0.9656342057,2.068232397,-4.110229386,4.658137569,0.7223543028,-0.2356934652,-5.15613597,0.2291259647,-2.212030846,0.9121968208,1.504303912,-0.5047896536,5.251195037,0.8500378402,2.432703501
0.105,,Control,-0.176315487,0.6465260104,-0.1383316304,-0.6465260104,0.1383316304,4.985032687,-0.6910010802,0.8103263425,0.6910010802,-0.8103263425,-8.541824348,1.291388397,-2.422041987,-0.9683227855,2.075331367,-4.106695444,4.657868988,0.7256318336,-0.2314786545,-5.174667316,0.2253746265,-2.215891464,0.9130440063,1.50184155,-0.5069313745,5.248951836,0.8431659803,2.427986125
0.11,,Control,-0.1727795555,0.6454180625,-0.1322480502,-0.6454180625,0.1322480502,4.992088628,-0.698592073,0.8079655189,0.698592073,-0.8079655189,-8.563419945,1.297657718,-2.419113166,-0.9709528977,2.083468372,-4.104859652,4.656842886,0.7285148579,-0.2271595335,-5.19422949,0.2213455737,-2.220826393,0.9140250149,1.499818373,-0.5072447573,5.247275021,0.8362699416,2.423026793
0.115,,Control,-0.1660892858,0.6443602824,-0.1262721143,-0.6443602824,0.1262721143,4.997797811,-0.706322085,0.8055022402,0.706322085,-0.8055022402,-8.588386354,1.304043597,-2.416114168,-0.9735338436,2.092494725,-4.104821567,4.65509131,0.7311124551,-0.2227309669,-5.215010387,0.2170081305,-2.226589776,0.9150919356,1.498066463,-0.5057975188,5.246130432,0.829382631,2.417829009
0.12,,Control,-0.1559109115,0.6433349543,-0.1205048292,-0.6433349543,0.1205048292,5.002026389,-0.7141856025,0.802951579,0.7141856025,-0.802951579,-8.616851813,1.310640728,-2.413092479,-0.9760816062,2.102255679,-4.106642439,4.652651174,0.7335193561,-0.2181859275,-5.23725961,0.2123458757,-2.232858258,0.9161920803,1.496348438,-0.5026920219,5.245479931,0.8225374411,2.4124071
0.125,,Control,-0.1418824605,0.6423235058,-0.1150455891,-0.6423235058,0.1150455891,5.004663791,-0.7221566118,0.8003250263,0.7221566118,-0.8003250263,-8.648956485,1.317533219,-2.41009042,-0.978616839,2.11259989,-4.110343341,4.649564947,0.7358063119,-0.2135187324,-5.261279598,0.2073566306,-2.239249887,0.9172731802,1.494378547,-0.4980676986,5.245280651,0.8157680772,2.406781898
0.13,,Control,-0.1236326791,0.641312623,-0.1099917768,-0.641312623,0.1099917768,5.005624348,-0.7301913908,0.7976253251,0.7301913908,-0.7976253251,-8.684834153,1.324784709,-2.407145965,-0.9811608412,2.123383702,-4.11590687,4.645879063,0.7380150568,-0.2087269802,-5.287401691,0.2020550989,-2.245343235,0.9182838095,1.491846863,-0.4920992225,5.245484345,0.809105437,2.400978052
0.135,,Control,-0.1008049224,0.6402987692,-0.1054415888,-0.6402987692,0.1054415888,5.004848744,-0.7382337487,0.7948488483,0.7382337487,-0.7948488483,-8.724591168,1.332433376,-2.40429057,-0.9837324182,2.134470901,-4.123281035,4.641643611,0.7401580949,-0.2038099014,-5.315955148,0.1964743779,-2.25069696,0.9191741795,1.488442622,-0.4849895442,5.246038361,0.8025721949,2.395021627
0.14,,Control,-0.07308037629,0.6392904673,-0.101497148,-0.6392904673,0.101497148,5.002302754,-0.7462209192,0.7919922915,0.7462209192,-0.7919922915,-8.768286683,1.340491137,-2.401544205,-0.9863456906,2.145729388,-4.132384781,4.636909584,0.7422226893,-0.1987664087,-5.347235587,0.1906661487,-2.25487582,0.9198959394,1.483878295,-0.4769565377,5.246890255,0.7961793014,2.388938563
0.145,,Control,-0.04020334674,0.6383083535,-0.09826801452,-0.6383083535,0.09826801452,4.997983938,-0.7540876575,0.7890623207,0.7540876575,-0.7890623207,-8.815922405,1.348943852,-2.398913478,-0.9890090465,2.157031266,-4.143114349,4.631727767,0.7441768559,-0.1935964065,-5.381482715,0.184700294,-2.25747896,0.9204020603,1.477912726,-0.4682196029,5.247995299,0.7899247902,2.382753584
0.15,,Control,-0.002006767846,0.6373835869,-0.09587097886,-0.6373835869,0.09587097886,4.991930991,-0.7617702967,0.7860827088,0.7617702967,-0.7860827088,-8.867436232,1.357751086,-2.396389871,-0.9917222616,2.168253321,-4.15534898,4.6261515,0.7459748962,-0.1883001995,-5.418859214,0.1786625631,-2.25816856,0.9206459543,1.470370021,-0.4589831528,5.249322777,0.7837951803,2.376489885
0.155,,Control,0.0415638077,0.6365523902,-0.09442924893,-0.6365523902,0.09442924893,4.984232753,-0.7692090837,0.7830969746,0.7692090837,-0.7830969746,-8.922699788,1.366850395,-2.39395137,-0.9944732151,2.179276589,-4.168955313,4.620236545,0.7475661266,-0.1828770919,-5.459433201,0.1726473407,-2.256691326,0.9205833634,1.461152386,-0.4494183041,5.250860933,0.7777687537,2.37017122
0.16,,Control,0.09043460885,0.635852274,-0.09407071139,-0.635852274,0.09407071139,4.975029077,-0.7763511257,0.7801697985,0.7763511257,-0.7801697985,-8.981518993,1.376164272,-2.391565187,-0.9972391865,2.189985896,-4.183792849,4.61403987,0.748903968,-0.1773269386,-5.503165504,0.1667505398,-2.252889659,0.9201735915,1.450242126,-0.4396501851,5.25261647,0.7718202959,2.363822781
0.165,,Control,0.1443922804,0.6353181807,-0.09492374816,-0.6353181807,0.09492374816,4.964507683,-0.7831513869,0.7773850242,0.7831513869,-0.7773850242,-9.043633122,1.385607119,-2.389185586,-0.9999897006,2.200266826,-4.199717274,4.607616349,0.7499509834,-0.1716508192,-5.549900322,0.161061926,-2.246705797,0.919382745,1.437695809,-0.4297478512,5.254612191,0.7659281926,2.35747065
0.17,,Control,0.203080646,0.6349785434,-0.09710880256,-0.6349785434,0.09710880256,4.952895786,-0.7895727591,0.7748392459,0.7895727591,-0.7748392459,-9.108709428,1.395093538,-2.386753006,-1.002690089,2.210002638,-4.21657714,4.601018139,0.7506814639,-0.16585085,-5.599361879,0.1556561939,-2.238184625,0.9181855168,1.423639918,-0.4197196535,5.256882214,0.760079078,2.351139137
0.175,,Control,0.2659985237,0.6348540115,-0.1007257352,-0.6348540115,0.1007257352,4.940448425,-0.7955866356,0.7726307024,0.7955866356,-0.7726307024,-9.176335574,1.40454456,-2.384193736,-1.005305877,2.219076071,-4.234207988,4.59429786,0.7510807956,-0.1599317579,-5.651154137,0.1505861191,-2.227474626,0.9165689932,1.408262864,-0.4095132518,5.259470512,0.7542743659,2.344849303
0.18,,Control,0.3325036212,0.634955717,-0.1058417133,-0.634955717,0.1058417133,4.927440105,-0.8011709463,0.7708506828,0.8011709463,-0.7708506828,-9.246017862,1.413894591,-2.38142007,-1.007806358,2.227372562,-4.252429168,4.587513546,0.7511439944,-0.1539002997,-5.704771798,0.1458795208,-2.214825383,0.9145334005,1.391806893,-0.3990270799,5.262423201,0.748533695,2.338618946
