Time,Marker,Group,lumbar_flexion_fwd_deg,lt_lumbar_flexion_lat_deg,lt_lumbar_axial_deg,rt_lumbar_flexion_lat_deg,rt_lumbar_axial_deg,thoracic_flexion_fwd_deg,lt_thoracic_flexion_lat_deg,lt_thoracic_axial_deg,rt_thoracic_flexion_lat_deg,rt_thoracic_axial_deg,lt_hip_flexion_deg,lt_hip_abduction_deg,lt_hip_rotation_ext_deg,lt_knee_abduction_deg,lt_knee_rotation_ext_deg,lt_knee_flexion_deg,lt_ankle_dorsiflexion_deg,lt_ankle_abduction_deg,lt_ankle_inversion_deg,rt_hip_flexion_deg,rt_hip_abduction_deg,rt_hip_rotation_ext_deg,rt_knee_abduction_deg,rt_knee_rotation_ext_deg,rt_knee_flexion_deg,rt_ankle_dorsiflexion_deg,rt_ankle_abduction_deg,rt_ankle_inversion_deg
0.0,Stand,Injured,2.360563267,0.6919909754,-0.2743710914,-0.6919909754,0.2743710914,-1.265679785,-0.3960507635,-0.2277238505,0.3960507635,0.2277238505,-7.332447533,1.328718029,0.36216256,-1.059959327,0.3016108791,1.760057019,6.573695522,0.03257251398,0.3657585797,-6.811149299,-0.8679569567,-1.054013024,0.03092677087,-0.9683409063,1.025490432,5.84457038,-0.7159143949,-0.6706524211
0.005,,Injured,2.362671847,0.6918348873,-0.258254743,-0.6918348873,0.258254743,-1.2740878,-0.3749003303,-0.2373249095,0.3749003303,0.2373249095,-7.31489229,1.295831791,0.362346206,-1.030531703,0.3044621447,1.7476782,6.554077714,0.03083628655,0.3861612115,-6.79613226,-0.8556108081,-1.063353374,0.02175539823,-0.9621363156,1.026465241,5.860653213,-0.710104094,-0.6742068837
0.01,,Injured,2.364882624,0.6916814944,-0.2420783242,-0.6916814944,0.2420783242,-1.282472854,-0.3537438831,-0.2469642422,0.3537438831,0.2469642422,-7.297200839,1.262865338,0.3625313402,-1.001032348,0.3072924461,1.735332292,6.534437084,0.02906836526,0.4065488419,-6.781000611,-0.8432609658,-1.072705814,0.01259409784,-0.9558677807,1.0274684,5.876737159,-0.7042557572,-0.6777754275
0.015,,Injured,2.367201968,0.6915340442,-0.2258581708,-0.6915340442,0.2258581708,-1.290816767,-0.3326181028,-0.2566315439,0.3326181028,0.2566315439,-7.279390005,1.22986461,0.3627188273,-0.9715041348,0.3100993482,1.723041338,6.514802236,0.0272656369,0.4268972819,-6.76576993,-0.8309254462,-1.082061139,0.003457636501,-0.9495389612,1.028501725,5.89280001,-0.6983725316,-0.6813555036
0.02,,Injured,2.370146829,0.6916990134,-0.2088209011,-0.6916990134,0.2088209011,-1.29873126,-0.3119966336,-0.2667955763,0.3119966336,0.2667955763,-7.260875255,1.196912751,0.3629366047,-0.9420892997,0.3130524151,1.711689743,6.49580042,0.02507094261,0.446344388,-6.750044562,-0.8189750402,-1.091965311,-0.005226245055,-0.9426869134,1.029810875,5.908427396,-0.6921184652,-0.684986463
0.025,,Injured,2.373828716,0.6922030103,-0.1912906894,-0.6922030103,0.1912906894,-1.305995027,-0.2923719256,-0.2772876878,0.2923719256,0.2772876878,-7.241874883,1.164714299,0.3631234973,-0.9134251209,0.3160966649,1.701603315,6.47784469,0.02245904117,0.4644807247,-6.734031004,-0.8076536159,-1.102169059,-0.01324609379,-0.9353499904,1.031404448,5.923272307,-0.6855920212,-0.6885754533
0.03,,Injured,2.378336164,0.6930494836,-0.1735842052,-0.6930494836,0.1735842052,-1.312467763,-0.2741049742,-0.2879519815,0.2741049742,0.2879519815,-7.222588612,1.133838102,0.3632060669,-0.8860172454,0.3191690838,1.692987461,6.461217193,0.01943519157,0.481046359,-6.71791464,-0.7971213518,-1.112410306,-0.02047028896,-0.927576084,1.033273388,5.937086151,-0.6788996257,-0.6920409999
0.035,,Injured,2.383742466,0.6942229268,-0.1559829945,-0.6942229268,0.1559829945,-1.318090571,-0.2574340623,-0.2986572978,0.2574340623,0.2986572978,-7.203196089,1.104711332,0.3631131698,-0.8602337588,0.3221954285,1.685937565,6.446078258,0.01603490807,0.495910121,-6.701857331,-0.7874646055,-1.122435093,-0.0268415526,-0.9194221394,1.035394079,5.949709266,-0.6721457972,-0.6953181299
0.04,,Injured,2.39010709,0.6956943728,-0.1387170219,-0.6956943728,0.1387170219,-1.322874617,-0.242492574,-0.309302682,0.242492574,0.309302682,-7.183858279,1.077626649,0.3627855133,-0.8363131777,0.3250930051,1.68045713,6.432486426,0.01231817816,0.5090460895,-6.685999098,-0.778709289,-1.132013835,-0.03236540104,-0.9109559032,1.037731749,5.961059023,-0.6654229051,-0.6983599044
0.045,,Injured,2.397474612,0.697425144,-0.1219585022,-0.697425144,0.1219585022,-1.326884434,-0.2293277153,-0.3198155443,0.2293277153,0.3198155443,-7.164717487,1.052754376,0.3621801516,-0.8143784171,0.3277773852,1.676477693,6.42042072,0.008359333596,0.5205080207,-6.670460362,-0.7708369899,-1.140951161,-0.03709251293,-0.9022578439,1.040241801,5.971114972,-0.6588030175,-0.7011380098
