Time,Marker,Group,lumbar_flexion_fwd_deg,lt_lumbar_flexion_lat_deg,lt_lumbar_axial_deg,rt_lumbar_flexion_lat_deg,rt_lumbar_axial_deg,thoracic_flexion_fwd_deg,lt_thoracic_flexion_lat_deg,lt_thoracic_axial_deg,rt_thoracic_flexion_lat_deg,rt_thoracic_axial_deg,lt_hip_flexion_deg,lt_hip_abduction_deg,lt_hip_rotation_ext_deg,lt_knee_abduction_deg,lt_knee_rotation_ext_deg,lt_knee_flexion_deg,lt_ankle_dorsiflexion_deg,lt_ankle_abduction_deg,lt_ankle_inversion_deg,rt_hip_flexion_deg,rt_hip_abduction_deg,rt_hip_rotation_ext_deg,rt_knee_abduction_deg,rt_knee_rotation_ext_deg,rt_knee_flexion_deg,rt_ankle_dorsiflexion_deg,rt_ankle_abduction_deg,rt_ankle_inversion_deg
0.06,,Control,9.484619058,-0.8338231433,-2.559729704,0.8338231433,2.559729704,-1.546591275,0.300483646,-0.4174202684,-0.300483646,0.4174202684,4.974624586,0.6466340308,3.158088525,3.608684005,-5.295259099,12.06592351,7.635394455,-1.566058145,8.899773821,1.903497591,4.61222119,3.933281921,-0.06203751484,-4.659525848,6.443432371,6.174966987,8.235932146,0.756352336
0.065,,Control,9.462802791,-0.8177428324,-2.533625276,0.8177428324,2.533625276,-1.547609918,0.3122337894,-0.4024500727,-0.3122337894,0.4024500727,4.937277554,0.5822838801,3.107589435,3.604936557,-5.326646216,12.12322112,7.723914165,-1.574061242,8.922644889,1.840325783,4.667072096,3.923499581,-0.08236475547,-4.651734553,6.341473318,6.158302474,8.235220248,0.7842898184
0.07,,Control,9.438474641,-0.8022111558,-2.507777058,0.8022111558,2.507777058,-1.548070456,0.3242727489,-0.3863173652,-0.3242727489,0.3863173652,4.896505754,0.5187547088,3.058373669,3.599360012,-5.352545411,12.17710365,7.80902809,-1.582362746,8.946540136,1.77745662,4.719941735,3.916123782,-0.1015521155,-4.646671259,6.241031457,6.142008707,8.231602383,0.8125009881
0.075,,Control,9.411685512,-0.7873235222,-2.482459444,0.7873235222,2.482459444,-1.54828551,0.3365775702,-0.3692357699,-0.3365775702,0.3692357699,4.852860982,0.4562845035,3.010695181,3.591684682,-5.372095946,12.22779551,7.890947704,-1.590446607,8.971205321,1.715260051,4.770416463,3.911576327,-0.1193432329,-4.644856513,6.14249353,6.126277764,8.225464634,0.8408793304
0.08,,Control,9.382576541,-0.773137878,-2.457958181,0.773137878,2.457958181,-1.548606231,0.3491285061,-0.3514122121,-0.3491285061,0.3514122121,4.806921448,0.3950312315,2.964788226,3.581693287,-5.384575316,12.27562296,7.969997024,-1.597760968,8.996292219,1.654019787,4.818132748,3.910185491,-0.1355104039,-4.646636194,6.046163644,6.111260515,8.217195839,0.8693458269
0.085,,Control,9.351383196,-0.7596801737,-2.434556018,0.7596801737,2.434556018,-1.549417132,0.3618818552,-0.3330604546,-0.3618818552,0.3330604546,4.759253245,0.3350814124,2.920934172,3.569242978,-5.389479256,12.32095453,8.046516289,-1.603740565,9.021369057,1.593926718,4.862776166,3.912182778,-0.1498602064,-4.65217169,5.952265352,6.097049895,8.207156165,0.8978477907
0.09,,Control,9.318429039,-0.7469526838,-2.412520192,0.7469526838,2.412520192,-1.551125784,0.37474007,-0.3144213919,-0.37474007,0.3144213919,4.710377329,0.2764671017,2.87951451,3.554279916,-5.386585233,12.364148,8.120779586,-1.607834582,9.045941973,1.535082206,4.90407867,3.917716888,-0.1622379467,-4.661464108,5.860948782,6.083677565,8.195666841,0.9263480493
0.095,,Control,9.284104257,-0.7349446519,-2.392082875,0.7349446519,2.392082875,-1.554140056,0.3875301751,-0.2957856202,-0.3875301751,0.2957856202,4.660743638,0.2191869492,2.84104708,3.536842136,-5.375989018,12.40550395,8.192936328,-1.609537257,9.069478002,1.477506695,4.941813333,3.92687441,-0.1725273808,-4.674406293,5.772298257,6.071117673,8.183016173,0.9548184986
0.1,,Control,9.248825634,-0.7236430383,-2.373426704,0.7236430383,2.373426704,-1.558833677,0.3999972112,-0.2775104214,-0.3999972112,0.2775104214,4.610714121,0.1632196293,2.806195301,3.517062898,-5.358111548,12.44523288,8.262986922,-1.608417866,9.091433017,1.421150876,4.975791866,3.939699162,-0.1806498383,-4.690839857,5.686341632,6.059297773,8.169479536,0.9832333059
0.105,,Control,9.212977849,-0.7130428249,-2.356680317,0.7130428249,2.356680317,-1.565507696,0.41181346,-0.2600205092,-0.41181346,0.2600205092,4.560551805,0.1085340426,2.775741317,3.495167113,-5.333667772,12.48342577,8.330794564,-1.604150413,9.111277927,1.365917967,5.005863422,3.956203117,-0.18656403,-4.710596414,5.603060805,6.048109714,8.155336543,1.011562269
