Time,Marker,Group,lumbar_flexion_fwd_deg,lt_lumbar_flexion_lat_deg,lt_lumbar_axial_deg,rt_lumbar_flexion_lat_deg,rt_lumbar_axial_deg,thoracic_flexion_fwd_deg,lt_thoracic_flexion_lat_deg,lt_thoracic_axial_deg,rt_thoracic_flexion_lat_deg,rt_thoracic_axial_deg,lt_hip_flexion_deg,lt_hip_abduction_deg,lt_hip_rotation_ext_deg,lt_knee_abduction_deg,lt_knee_rotation_ext_deg,lt_knee_flexion_deg,lt_ankle_dorsiflexion_deg,lt_ankle_abduction_deg,lt_ankle_inversion_deg,rt_hip_flexion_deg,rt_hip_abduction_deg,rt_hip_rotation_ext_deg,rt_knee_abduction_deg,rt_knee_rotation_ext_deg,rt_knee_flexion_deg,rt_ankle_dorsiflexion_deg,rt_ankle_abduction_deg,rt_ankle_inversion_deg
0.0,Stand,Injured,-3.677158257,-0.07830944431,0.8160893486,0.07830944431,-0.8160893486,-0.4568601609,0.5902717285,0.9189410032,-0.5902717285,-0.9189410032,-4.344535714,-0.3027003487,0.3166224724,1.223792304,0.09842391511,0.909720944,6.992129952,-0.03127761763,0.6926273254,-5.717825677,-0.3307456809,-0.519853768,-1.181979607,-0.0915472823,-2.463522179,4.774932581,-0.3494924726,-1.695169972
0.005,,Injured,-3.668454179,-0.07643538159,0.8130303558,0.07643538159,-0.8130303558,-0.4592630932,0.5917901349,0.9159057944,-0.5917901349,-0.9159057944,-4.34449319,-0.3012703247,0.323848745,1.224818514,0.09961396101,0.8803736311,6.965408755,-0.02943447521,0.6928406267,-5.715109715,-0.3388668161,-0.5249095703,-1.181375572,-0.09165472332,-2.482437381,4.755138298,-0.3543958878,-1.698060553
0.01,,Injured,-3.65972051,-0.07456793459,0.8099051484,0.07456793459,-0.8099051484,-0.4616117598,0.5932894014,0.912833787,-0.5932894014,-0.912833787,-4.344419541,-0.2998344928,0.3311174204,1.225836875,0.1008315755,0.8509359126,6.93861074,-0.02757451309,0.6930546483,-5.712341669,-0.347021822,-0.5299946341,-1.180737925,-0.09177117818,-2.501462826,4.735217493,-0.3593336395,-1.700938668
0.015,,Injured,-3.650971519,-0.07270759264,0.80671519,0.07270759264,-0.80671519,-0.4638981782,0.5947668989,0.9097252942,-0.5947668989,-0.9097252942,-4.344312617,-0.2983946227,0.3384225709,1.22684356,0.1020776343,0.8214530284,6.911779199,-0.02569899067,0.6932690868,-5.709520821,-0.3552031035,-0.5351049519,-1.180059924,-0.09189865917,-2.520578709,4.715190082,-0.3643001283,-1.703797464
0.02,,Injured,-3.642068529,-0.07063617407,0.8035489743,0.07063617407,-0.8035489743,-0.4662583605,0.5963828721,0.9062223285,-0.5963828721,-0.9062223285,-4.344271969,-0.2968520823,0.3460664184,1.227643505,0.1034418845,0.7923422565,6.885495761,-0.02365437761,0.6934122452,-5.706563859,-0.3638702761,-0.5404980996,-1.178740888,-0.09222743137,-2.540092491,4.694702794,-0.3693552197,-1.706505848
0.025,,Injured,-3.633189487,-0.06840863983,0.8004278092,0.06840863983,-0.8004278092,-0.4685865386,0.598093294,0.9023018764,-0.598093294,-0.9023018764,-4.344291572,-0.2952207551,0.3538987332,1.22818614,0.1049292685,0.7641929742,6.860306432,-0.02143932171,0.693458713,-5.703492803,-0.3728774638,-0.5460791476,-1.176734184,-0.09279237266,-2.559689193,4.674069745,-0.3744032585,-1.70896494
0.03,,Injured,-3.624465968,-0.06609379296,0.7973632009,0.06609379296,-0.7973632009,-0.4708091389,0.5998596598,0.8979522177,-0.5998596598,-0.8979522177,-4.344370402,-0.2935133069,0.3617634409,1.228444923,0.1065428722,0.7374462465,6.836604615,-0.01905496192,0.6933948005,-5.700340194,-0.3820743753,-0.5517479249,-1.174047153,-0.09361535639,-2.57908192,4.653578407,-0.379361723,-1.711099867
0.035,,Injured,-3.615978984,-0.06376724486,0.7943548558,0.06376724486,-0.7943548558,-0.4728892842,0.6016503021,0.8931796957,-0.6016503021,-0.8931796957,-4.344512935,-0.2917416189,0.369508283,1.228418053,0.1082871576,0.7123994513,6.81463833,-0.01650623549,0.693220813,-5.697147974,-0.3913148868,-0.557404497,-1.170732876,-0.09470530929,-2.598020633,4.633481002,-0.3841643487,-1.712861002
0.04,,Injured,-3.607767522,-0.06150520873,0.7913912097,0.06150520873,-0.7913912097,-0.4748190218,0.6034419892,0.88801248,-0.6034419892,-0.88801248,-4.344728166,-0.2899173613,0.3769931368,1.228125699,0.1101736087,0.689222367,6.794528552,-0.01380832909,0.6929506662,-5.693964938,-0.4004637388,-0.5629537976,-1.16687786,-0.09606015477,-2.616306192,4.613980481,-0.3887612438,-1.71422154
0.045,,Injured,-3.599841137,-0.05937710635,0.7884507276,0.05937710635,-0.7884507276,-0.4766035752,0.605218186,0.8825004767,-0.605218186,-0.8825004767,-4.345030239,-0.2880532985,0.3840954512,1.227605072,0.1122228009,0.6679787392,6.776292597,-0.01098940615,0.692608898,-5.690845839,-0.4094006803,-0.5683080341,-1.162589797,-0.09766906274,-2.633797097,4.595223609,-0.3931193855,-1.715172878
0.05,,Injured,-3.592192445,-0.05743932616,0.785503516,0.05743932616,-0.785503516,-0.4782467626,0.606965205,0.8767149407,-0.606965205,-0.8767149407,-4.345437365,-0.2861656143,0.3907140151,1.226904154,0.1144626374,0.6486483822,6.759867666,-0.008090782184,0.6922263517,-5.687848898,-0.4180217549,-0.5733882263,-1.15798662,-0.09951373995,-2.650406645,4.577303515,-0.3972230697,-1.715721504
0.055,,Injured,-3.584806865,-0.05572886154,0.7825151845,0.05572886154,-0.7825151845,-0.4797404881,0.6086678115,0.870747674,-0.6086678115,-0.870747674,-4.345969372,-0.2842763585,0.3967728336,1.226077108,0.1169246627,0.6311499124,6.745134588,-0.005162282242,0.6918376674,-5.685032111,-0.4262386915,-0.5781267786,-1.153187063,-0.1015684867,-2.666095659,4.560266652,-0.4010725906,-1.7158865
0.06,,Injured,-3.577668469,-0.05426398464,0.7794481493,0.05426398464,-0.7794481493,-0.4810566156,0.6103098158,0.8647102696,-0.6103098158,-0.8647102696,-4.346644617,-0.2824132322,0.402223956,1.22518016,0.1196391797,0.6153607913,6.731938536,-0.002257368435,0.6914772582,-5.682449087,-0.4339793975,-0.5824700474,-1.148302934,-0.1037995281,-2.680862676,4.54412215,-0.4046862392,-1.715694899
0.065,,Injured,-3.570764907,-0.05304509236,0.7762620726,0.05304509236,-0.7762620726,-0.4821493932,0.6118761259,0.8587354118,-0.6118761259,-0.8587354118,-4.347472207,-0.2806088665,0.407050856,1.224267036,0.1226315887,0.6011332694,6.720105342,0.000570665164,0.6911746571,-5.68014042,-0.4411876007,-0.5863824375,-1.143434028,-0.1061665209,-2.694732726,4.528852614,-0.4080975957,-1.715179712
0.07,,Injured,-3.564088458,-0.05206059559,0.7729125919,0.05206059559,-0.7729125919,-0.48296373,0.6133570742,0.8529753,-0.6133570742,-0.8529753,-4.348446222,-0.2788971221,0.4112686239,1.223386317,0.1259165523,0.5883089975,6.709456213,0.003273428435,0.6909526315,-5.678127224,-0.4478244775,-0.5898482673,-1.13866474,-0.1086241734,-2.707748837,4.514422182,-0.4113538168,-1.714377087
0.075,,Injured,-3.557640203,-0.05129149005,0.769351024,0.05129149005,-0.769351024,-0.4834395116,0.6147521453,0.8475986173,-0.6147521453,-0.8475986173,-4.349542116,-0.277311353,0.4149213979,1.222579061,0.1294927583,0.5767295312,6.69981809,0.005813963902,0.6908252351,-5.67640705,-0.4538676085,-0.592871561,-1.134061966,-0.1111266885,-2.719965525,4.500782722,-0.4145086177,-1.713326117
0.08,,Injured,-3.551436168,-0.05071801881,0.7655277704,0.05071801881,-0.7655277704,-0.4835105061,0.6160704823,0.8427821322,-0.6160704823,-0.8427821322,-4.35071695,-0.2758817443,0.4180767297,1.221875745,0.133340433,0.5662458802,6.69103287,0.008171299098,0.6907948818,-5.674953796,-0.4593104435,-0.5954733187,-1.129675177,-0.113631071,-2.731443304,4.487879052,-0.4176169815,-1.712067502
0.085,,Injured,-3.545517558,-0.05032269188,0.7613980585,0.05032269188,-0.7613980585,-0.4831001277,0.6173296291,0.838696297,-0.6173296291,-0.838696297,-4.351910018,-0.274634615,0.4208174028,1.221297104,0.137420524,0.5567228228,6.682961258,0.01034295229,0.6908527094,-5.673718193,-0.4641596503,-0.597686458,-1.125536506,-0.1161004896,-2.742245627,4.475651852,-0.4207292819,-1.710642082
